,Main Champion,Main Lane,Champion,Mastery
0,Garen,top,Lux,0.008642440081834938
1,Garen,top,Blitzcrank,0.010689735082795486
2,Garen,top,Pantheon,0.013453973462999083
0,Gnar,top,Kennen,0.10924814165833532
1,Gnar,top,Teemo,0.11120503805956164
2,Gnar,top,Renekton,0.11995562428143394
0,Gnar,top,Poppy,0.052605761260369276
1,Gnar,top,LeeSin,0.054301155921762136
2,Gnar,top,Kayn,0.061653117125737796
0,Gnar,top,Yasuo,0.023357045932310857
1,Gnar,top,Sylas,0.05249844309738586
2,Gnar,top,Vladimir,0.05474394028298263
0,Gnar,top,Ezreal,0.02076886195866216
1,Gnar,top,Jhin,0.037057030767429236
2,Gnar,top,Ashe,0.04159041396239915
0,Gnar,top,Thresh,0.040204284915241056
1,Gnar,top,Lux,0.04705631126118924
2,Gnar,top,Blitzcrank,0.04712541850749325
0,Gragas,top,Sion,0.08659002653702055
1,Gragas,top,Camille,0.11442376013487587
2,Gragas,top,Jax,0.13196494411515708
0,Gragas,top,LeeSin,0.03192943743370093
1,Gragas,top,Graves,0.04539198095222936
2,Gragas,top,JarvanIV,0.1001983501499512
0,Gragas,top,Yasuo,0.03564669366803696
1,Gragas,top,Zed,0.054168111159624284
2,Gragas,top,Galio,0.07285083813484992
0,Gragas,top,Ezreal,0.029925873574894592
1,Gragas,top,Jhin,0.04528395018464168
2,Gragas,top,Vayne,0.0592644939991985
0,Gragas,top,Blitzcrank,0.0405135879735238
1,Gragas,top,Thresh,0.04602815057859838
2,Gragas,top,Alistar,0.06753325234506309
0,Graves,jg,Gragas,0.017393309190356795
1,Graves,jg,Akali,0.021272217015858977
2,Graves,jg,Sett,0.021449439910566876
0,Graves,jg,LeeSin,0.008457490829751604
1,Graves,jg,Ekko,0.020956921968149116
2,Graves,jg,Nidalee,0.024811045619791066
0,Graves,jg,Yasuo,0.009787059473007453
1,Graves,jg,Sylas,0.010189236545867238
2,Graves,jg,Zed,0.015701239614493497
0,Graves,jg,Ezreal,0.007451707583561142
1,Graves,jg,Lucian,0.008994959357679331
2,Graves,jg,Vayne,0.014591534199159355
0,Graves,jg,Thresh,0.01243916362159276
1,Graves,jg,Pantheon,0.014096567798395812
2,Graves,jg,Senna,0.018033541323315812
0,Gwen,top,Camille,0.27202745918034094
1,Gwen,top,Riven,0.6748122851456486
2,Gwen,top,Renekton,0.7990157494932094
0,Gwen,top,MonkeyKing,0.297650293788896
1,Gwen,top,Kayn,0.42019901525395653
2,Gwen,top,Graves,0.44002409935560216
